epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,3645.64,0.90765,0.72583,0.00843,0.68443,0.86963,0.83434,0.63842,0.91153,0.58738,0.01337,0.000528272,0.000528272,0.000528272
71,3697.72,0.89625,0.68644,0.00835,0.67782,0.85965,0.82216,0.62889,0.91068,0.6355,0.01314,0.000511769,0.000511769,0.000511769
72,3749.66,0.89912,0.70599,0.00844,0.71945,0.83899,0.84006,0.63637,0.90776,0.59369,0.01321,0.000495266,0.000495266,0.000495266
73,3801.7,0.88685,0.69364,0.00818,0.73693,0.82341,0.84399,0.63927,0.90611,0.58942,0.01319,0.000478762,0.000478762,0.000478762
74,3853.59,0.8902,0.70114,0.00819,0.71633,0.82777,0.83835,0.6365,0.90336,0.59762,0.0131,0.000462259,0.000462259,0.000462259
75,3905.54,0.8856,0.6964,0.00811,0.72068,0.83027,0.83587,0.63491,0.89133,0.60864,0.01287,0.000445756,0.000445756,0.000445756
76,3957.49,0.88957,0.70631,0.00812,0.724,0.83866,0.84811,0.64399,0.88941,0.59302,0.01291,0.000429253,0.000429253,0.000429253
77,4009.36,0.87739,0.69599,0.00805,0.74126,0.83339,0.85016,0.6482,0.89469,0.58636,0.01305,0.000412749,0.000412749,0.000412749
78,4061.35,0.87325,0.68783,0.00804,0.72403,0.83756,0.8484,0.6476,0.88552,0.57736,0.01284,0.000396246,0.000396246,0.000396246
79,4113.24,0.86697,0.69063,0.00798,0.68783,0.87195,0.84585,0.64579,0.897,0.58098,0.01303,0.000379743,0.000379743,0.000379743
80,4165.21,0.87574,0.68292,0.00805,0.70282,0.86252,0.84444,0.64355,0.89788,0.57753,0.01314,0.000363239,0.000363239,0.000363239
81,4217.16,0.86724,0.68008,0.00791,0.69541,0.86252,0.83697,0.64049,0.88514,0.59017,0.01289,0.000346736,0.000346736,0.000346736
82,4269.01,0.86044,0.66351,0.00787,0.70435,0.8544,0.84128,0.64713,0.88035,0.59009,0.01276,0.000330233,0.000330233,0.000330233
83,4320.83,0.86573,0.6702,0.00804,0.69926,0.86601,0.84494,0.65065,0.88385,0.58957,0.01279,0.000313729,0.000313729,0.000313729
84,4372.83,0.85537,0.66227,0.00776,0.69489,0.86138,0.83956,0.64601,0.88133,0.59355,0.01279,0.000297226,0.000297226,0.000297226
85,4424.72,0.83855,0.66018,0.00765,0.72169,0.84703,0.84838,0.65166,0.88002,0.58813,0.01268,0.000280723,0.000280723,0.000280723
